
rp OLSR, nn 50, random seed 13, Received: 501 | Sent: 5980 | Dropped: 5479, PLR: 91.622074%
rp OLSR, nn 50, random seed 14, Received: 682 | Sent: 5980 | Dropped: 5298, PLR: 88.595318%
rp OLSR, nn 50, random seed 15, Received: 597 | Sent: 5980 | Dropped: 5383, PLR: 90.016722%
rp OLSR, nn 50, random seed 16, Received: 1037 | Sent: 5980 | Dropped: 4943, PLR: 82.658863%
rp OLSR, nn 50, random seed 17, Received: 684 | Sent: 5980 | Dropped: 5296, PLR: 88.561873%
rp OLSR, nn 50, random seed 18, Received: 512 | Sent: 5980 | Dropped: 5468, PLR: 91.438127%
rp OLSR, nn 50, random seed 19, Received: 695 | Sent: 5980 | Dropped: 5285, PLR: 88.377926%
rp OLSR, nn 50, random seed 20, Received: 523 | Sent: 5980 | Dropped: 5457, PLR: 91.254181%
rp OLSR, nn 50, random seed 21, Received: 318 | Sent: 5980 | Dropped: 5662, PLR: 94.682274%
rp OLSR, nn 50, random seed 22, Received: 591 | Sent: 5980 | Dropped: 5389, PLR: 90.117057%
rp OLSR, nn 50, random seed 23, Received: 586 | Sent: 5980 | Dropped: 5394, PLR: 90.200669%
rp OLSR, nn 50, random seed 24, Received: 282 | Sent: 5980 | Dropped: 5698, PLR: 95.284281%
rp OLSR, nn 50, random seed 25, Received: 777 | Sent: 5980 | Dropped: 5203, PLR: 87.006689%
rp OLSR, nn 50, random seed 26, Received: 502 | Sent: 5980 | Dropped: 5478, PLR: 91.605351%
rp OLSR, nn 50, random seed 27, Received: 721 | Sent: 5980 | Dropped: 5259, PLR: 87.943144%
rp OLSR, nn 50, random seed 28, Received: 517 | Sent: 5980 | Dropped: 5463, PLR: 91.354515%
rp OLSR, nn 50, random seed 29, Received: 738 | Sent: 5980 | Dropped: 5242, PLR: 87.658863%
rp OLSR, nn 50, random seed 30, Received: 545 | Sent: 5980 | Dropped: 5435, PLR: 90.886288%
rp OLSR, nn 60, random seed 1, Received: 221 | Sent: 5980 | Dropped: 5759, PLR: 96.304348%
rp OLSR, nn 60, random seed 2, Received: 60 | Sent: 5980 | Dropped: 5920, PLR: 98.996656%
rp OLSR, nn 60, random seed 3, Received: 105 | Sent: 5980 | Dropped: 5875, PLR: 98.244147%
rp OLSR, nn 60, random seed 4, Received: 81 | Sent: 5980 | Dropped: 5899, PLR: 98.645485%
rp OLSR, nn 60, random seed 5, Received: 176 | Sent: 5980 | Dropped: 5804, PLR: 97.056856%
rp OLSR, nn 60, random seed 6, Received: 127 | Sent: 5980 | Dropped: 5853, PLR: 97.876254%
rp OLSR, nn 60, random seed 7, Received: 80 | Sent: 5980 | Dropped: 5900, PLR: 98.662207%
rp OLSR, nn 60, random seed 8, Received: 115 | Sent: 5980 | Dropped: 5865, PLR: 98.076923%
rp OLSR, nn 60, random seed 9, Received: 149 | Sent: 5980 | Dropped: 5831, PLR: 97.508361%
rp OLSR, nn 60, random seed 10, Received: 53 | Sent: 5980 | Dropped: 5927, PLR: 99.113712%
rp OLSR, nn 60, random seed 11, Received: 70 | Sent: 5980 | Dropped: 5910, PLR: 98.829431%
